"series","timestamp","value","label"
"pressure","2022-06-12T04:11:44Z",994.71491,""
"pressure","2022-06-12T04:31:44Z",994.08631,""
"pressure","2022-06-12T04:51:44Z",995.2822,""
"pressure","2022-06-12T05:11:44Z",994.94715,""
"pressure","2022-06-12T05:31:44Z",995.89462,""
"pressure","2022-06-12T05:51:44Z",996.07907,""
"pressure","2022-06-12T06:11:44Z",996.2957,""
"pressure","2022-06-12T06:31:44Z",996.51291,""
"pressure","2022-06-12T06:51:44Z",996.65311,""
"pressure","2022-06-12T07:11:44Z",996.708,""
"pressure","2022-06-12T07:31:44Z",996.70733,""
"pressure","2022-06-12T07:51:44Z",996.88599,""
"pressure","2022-06-12T08:11:44Z",997.08101,""
"pressure","2022-06-12T08:31:44Z",997.22548,""
"pressure","2022-06-12T08:51:44Z",997.28598,""
"pressure","2022-06-12T09:11:44Z",996.16235,""
"pressure","2022-06-12T09:31:44Z",996.33466,""
"pressure","2022-06-12T09:51:44Z",996.39588,""
"pressure","2022-06-12T10:11:44Z",996.43435,""
"pressure","2022-06-12T10:31:44Z",996.45642,""
"pressure","2022-06-12T10:51:44Z",996.41728,""
"pressure","2022-06-12T11:11:44Z",996.41227,""
"pressure","2022-06-12T11:31:44Z",996.43936,""
"pressure","2022-06-12T11:51:44Z",996.60173,""
"pressure","2022-06-12T12:11:44Z",997.11921,""
"pressure","2022-06-12T12:31:44Z",997.94483,""
"pressure","2022-06-12T12:51:44Z",997.84386,""
"pressure","2022-06-12T13:11:44Z",997.80135,""
"pressure","2022-06-12T13:31:44Z",998.43754,""
"pressure","2022-06-12T13:51:44Z",996.69984,""
"pressure","2022-06-12T14:11:44Z",997.5626,""
"pressure","2022-06-12T14:31:44Z",997.20759,""
"pressure","2022-06-12T14:51:44Z",996.79725,""
"pressure","2022-06-12T15:11:44Z",997.33209,""
"pressure","2022-06-12T15:31:44Z",996.52494,""
"pressure","2022-06-12T15:51:44Z",996.67423,""
"pressure","2022-06-12T16:11:44Z",995.51133,""
"pressure","2022-06-12T16:31:44Z",997.2098,""
"pressure","2022-06-12T16:51:44Z",996.78272,""
"pressure","2022-06-12T17:11:44Z",997.10648,""
"pressure","2022-06-12T17:31:44Z",997.51002,""
"pressure","2022-06-12T17:51:44Z",997.40195,""
"pressure","2022-06-12T18:11:44Z",996.7375,""
"pressure","2022-06-12T18:31:44Z",996.91239,""
"pressure","2022-06-12T18:51:44Z",996.32347,""
"pressure","2022-06-12T19:11:44Z",996.41297,""
"pressure","2022-06-12T19:31:44Z",996.83147,""
"pressure","2022-06-12T19:51:44Z",997.05618,""
"pressure","2022-06-12T20:11:44Z",996.72956,""
"pressure","2022-06-12T20:31:44Z",997.62945,""
"pressure","2022-06-12T20:51:44Z",996.65697,""
"pressure","2022-06-12T21:11:44Z",996.03932,""
"pressure","2022-06-12T21:31:44Z",997.28598,""
"pressure","2022-06-12T21:51:44Z",997.70774,""
"pressure","2022-06-12T22:11:44Z",997.19083,""
"pressure","2022-06-12T22:31:44Z",997.70342,""
"pressure","2022-06-12T22:51:44Z",997.78465,""
"pressure","2022-06-12T23:11:44Z",997.64446,""
"pressure","2022-06-12T23:31:44Z",996.86041,""
"pressure","2022-06-12T23:51:44Z",997.62376,""
"pressure","2022-06-13T00:11:44Z",997.22048,""
"pressure","2022-06-13T00:31:44Z",996.14768,""
"pressure","2022-06-13T00:51:44Z",1000.15991,""
"pressure","2022-06-13T01:11:44Z",996.03107,""
"pressure","2022-06-13T01:31:44Z",996.87927,""
"pressure","2022-06-13T01:51:44Z",997.29946,""
"pressure","2022-06-13T02:11:44Z",997.37341,""
"pressure","2022-06-13T02:31:44Z",997.62239,""
"pressure","2022-06-13T02:51:44Z",997.15986,""
"pressure","2022-06-13T03:11:44Z",996.73155,""
"pressure","2022-06-13T03:31:44Z",996.29442,""
"pressure","2022-06-13T03:51:44Z",997.31152,""
"pressure","2022-06-13T04:11:44Z",997.38116,""
"pressure","2022-06-13T04:31:44Z",997.68151,""
"pressure","2022-06-13T04:51:44Z",998.16308,""
"pressure","2022-06-13T05:11:44Z",997.56486,""
"pressure","2022-06-13T05:31:44Z",998.35025,""
"pressure","2022-06-13T05:51:44Z",998.48816,""
"pressure","2022-06-13T06:11:44Z",998.59336,""
"pressure","2022-06-13T06:31:44Z",998.71487,""
"pressure","2022-06-13T06:51:44Z",998.78816,""
"pressure","2022-06-13T07:11:44Z",998.92025,""
"pressure","2022-06-13T07:31:44Z",998.99846,""
"pressure","2022-06-13T07:51:44Z",998.93578,""
"pressure","2022-06-13T08:11:44Z",998.95209,""
"pressure","2022-06-13T08:31:44Z",999.09139,""
"pressure","2022-06-13T08:51:44Z",999.14519,""
"pressure","2022-06-13T09:11:44Z",999.19977,""
"pressure","2022-06-13T09:31:44Z",999.3716,""
"pressure","2022-06-13T09:51:44Z",999.32681,""
"pressure","2022-06-13T10:11:44Z",999.3602,""
"pressure","2022-06-13T10:31:44Z",999.33251,""
"pressure","2022-06-13T10:51:44Z",999.27551,""
"pressure","2022-06-13T11:11:44Z",999.17047,""
"pressure","2022-06-13T11:31:44Z",998.18897,""
"pressure","2022-06-13T11:51:44Z",998.14756,""
"pressure","2022-06-13T12:11:44Z",999.06949,""
"pressure","2022-06-13T12:31:44Z",998.26586,""
"pressure","2022-06-13T12:51:44Z",998.04773,""
"pressure","2022-06-13T13:11:44Z",999.02633,""
"pressure","2022-06-13T13:31:44Z",997.80814,""
"pressure","2022-06-13T13:51:44Z",997.57317,""
"pressure","2022-06-13T14:11:44Z",998.22543,""
"pressure","2022-06-13T14:31:44Z",998.13355,""
"pressure","2022-06-13T14:51:44Z",998.39039,""
"pressure","2022-06-13T15:11:44Z",997.88704,""
"pressure","2022-06-13T15:31:44Z",998.28464,""
"pressure","2022-06-13T15:51:44Z",997.26845,""
"pressure","2022-06-13T16:11:44Z",997.83524,""
"pressure","2022-06-13T16:31:44Z",997.70927,""
"pressure","2022-06-13T16:51:44Z",997.70636,""
"pressure","2022-06-13T17:11:44Z",998.00212,""
"pressure","2022-06-13T17:31:44Z",999.76655,""
"pressure","2022-06-13T17:51:44Z",997.90135,""
"pressure","2022-06-13T18:11:44Z",998.11197,""
"pressure","2022-06-13T18:31:44Z",996.7599,""
"pressure","2022-06-13T18:51:44Z",998.66692,""
"pressure","2022-06-13T19:11:44Z",999.36345,""
"pressure","2022-06-13T19:31:44Z",999.82028,""
"pressure","2022-06-13T19:51:44Z",1000.33146,""
"pressure","2022-06-13T20:11:44Z",1000.65976,""
"pressure","2022-06-13T20:31:44Z",999.93161,""
"pressure","2022-06-13T20:51:44Z",999.8716,""
"pressure","2022-06-13T21:11:44Z",1001.35314,""
"pressure","2022-06-13T21:31:44Z",1000.35998,""
"pressure","2022-06-13T21:51:44Z",1000.46751,""
"pressure","2022-06-13T22:11:44Z",1000.41654,""
"pressure","2022-06-13T22:31:44Z",1000.20472,""
"pressure","2022-06-13T22:51:44Z",1000.89594,""
"pressure","2022-06-13T23:11:44Z",1000.40456,""
"pressure","2022-06-13T23:31:44Z",1000.84402,""
"pressure","2022-06-13T23:51:44Z",1000.74959,""
"pressure","2022-06-14T00:11:44Z",1000.87165,""
"pressure","2022-06-14T00:31:44Z",1000.18519,""
"pressure","2022-06-14T00:51:44Z",1000.00109,""
"pressure","2022-06-14T01:11:44Z",1000.10241,""
"pressure","2022-06-14T01:31:44Z",1002.19425,""
"pressure","2022-06-14T01:51:44Z",1000.94095,""
"pressure","2022-06-14T02:11:44Z",999.11037,""
"pressure","2022-06-14T02:31:44Z",1000.25527,""
"pressure","2022-06-14T02:51:44Z",1000.00684,""
"pressure","2022-06-14T03:11:44Z",1001.07641,""
"pressure","2022-06-14T03:31:44Z",1001.2366,""
"pressure","2022-06-14T03:51:44Z",1000.65851,""
"pressure","2022-06-14T04:11:44Z",1001.94994,""
"pressure","2022-06-14T04:31:44Z",1002.02742,""
"pressure","2022-06-14T04:51:44Z",1001.08594,""
"pressure","2022-06-14T05:11:44Z",1001.39377,""
"pressure","2022-06-14T05:31:44Z",1001.20829,""
"pressure","2022-06-14T05:51:44Z",1001.4728,""
"pressure","2022-06-14T06:11:44Z",1001.76604,""
"pressure","2022-06-14T06:31:44Z",1002.19402,""
"pressure","2022-06-14T06:51:44Z",1002.43211,""
"pressure","2022-06-14T07:11:44Z",1002.70248,""
"pressure","2022-06-14T07:31:44Z",1002.96229,""
"pressure","2022-06-14T07:51:44Z",1003.22303,""
"pressure","2022-06-14T08:11:44Z",1003.5836,""
"pressure","2022-06-14T08:31:44Z",1003.70533,""
"pressure","2022-06-14T08:51:44Z",1003.90038,""
"pressure","2022-06-14T09:11:44Z",1003.94407,""
"pressure","2022-06-14T09:31:44Z",1004.25505,""
"pressure","2022-06-14T09:51:44Z",1004.56955,""
"pressure","2022-06-14T10:11:44Z",1004.90109,""
"pressure","2022-06-14T10:31:44Z",1005.20612,""
"pressure","2022-06-14T10:51:44Z",1005.37237,""
"pressure","2022-06-14T11:11:44Z",1004.91386,""
"pressure","2022-06-14T11:31:44Z",1004.9805,""
