"series","timestamp","value","label"
"Set","2022-06-12T04:01:44Z",960.833333333333,"1"
"Rise","2022-06-12T07:16:44Z",1155.83333333333,"1"
"Set","2022-06-12T11:36:44Z",1415.83333333333,"1"
"Rise","2022-06-13T08:06:44Z",1205.83333333333,"1"
"Set","2022-06-13T11:16:44Z",1395.83333333333,"1"
"Rise","2022-06-14T08:41:44Z",1240.83333333333,"1"
"Set","2022-06-14T11:36:44Z",1415.83333333333,"1"
"Rise","2022-06-15T08:16:44Z",1215.83333333333,"1"
"Set","2022-06-15T11:21:44Z",1400.83333333333,"1"
"Rise","2022-06-16T07:56:44Z",1195.83333333333,"1"
"Set","2022-06-16T11:31:44Z",1410.83333333333,"1"
"Rise","2022-06-17T08:16:44Z",1215.83333333333,"1"
"Set","2022-06-17T11:26:44Z",1405.83333333333,"1"
"Rise","2022-06-18T07:36:44Z",1175.83333333333,"1"
"Set","2022-06-18T11:31:44Z",1410.83333333333,"1"
"Rise","2022-06-19T07:36:44Z",1175.83333333333,"1"
"Set","2022-06-19T11:21:44Z",1400.83333333333,"1"
"Rise","2022-06-20T08:01:44Z",1200.83333333333,"1"
"Set","2022-06-20T11:36:44Z",1415.83333333333,"1"
"Rise","2022-06-21T07:56:44Z",1195.83333333333,"1"
"Set","2022-06-21T11:31:44Z",1410.83333333333,"1"
"Rise","2022-06-22T08:11:44Z",1210.83333333333,"1"
"Set","2022-06-22T11:11:44Z",1390.83333333333,"1"
"Rise","2022-06-23T08:56:44Z",1255.83333333333,"1"
"Set","2022-06-23T11:16:44Z",1395.83333333333,"1"
"Rise","2022-06-24T08:21:44Z",1220.83333333333,"1"
"Set","2022-06-24T11:21:44Z",1400.83333333333,"1"
"Rise","2022-06-25T08:36:44Z",1235.83333333333,"1"
"Set","2022-06-25T11:26:44Z",1405.83333333333,"1"
"Rise","2022-06-26T07:51:44Z",1190.83333333333,"1"
"Set","2022-06-26T12:01:44Z",0.833333333333485,"1"
"Rise","2022-06-27T08:36:44Z",1235.83333333333,"1"
"Set","2022-06-27T11:31:44Z",1410.83333333333,"1"
"Rise","2022-06-28T08:06:44Z",1205.83333333333,"1"
"Set","2022-06-28T11:56:44Z",1435.83333333333,"1"
"Rise","2022-06-29T08:06:44Z",1205.83333333333,"1"
"Set","2022-06-29T11:46:44Z",1425.83333333333,"1"
"Rise","2022-06-30T07:51:44Z",1190.83333333333,"1"
"Set","2022-06-30T11:56:44Z",1435.83333333333,"1"
"Rise","2022-07-01T08:26:44Z",1225.83333333333,"1"
"Set","2022-07-01T11:51:44Z",1430.83333333333,"1"
"Rise","2022-07-02T08:01:44Z",1200.83333333333,"1"
"Set","2022-07-02T11:56:44Z",1435.83333333333,"1"
"Rise","2022-07-03T08:36:44Z",1235.83333333333,"1"
"Set","2022-07-03T11:46:44Z",1425.83333333333,"1"
"Rise","2022-07-04T07:36:44Z",1175.83333333333,"1"
"Set","2022-07-04T12:11:44Z",10.8333333333335,"1"
"Rise","2022-07-05T08:06:44Z",1205.83333333333,"1"
"Set","2022-07-05T12:01:44Z",0.833333333333485,"1"
"Rise","2022-07-06T08:41:44Z",1240.83333333333,"1"
